index,image,score,lid
55,image_82_60.jpg,0.20649235,82
56,image_35_280.jpg,,35
57,image_49_260.jpg,0.99648464,49
57,image_49_260.jpg,0.99521184,49
57,image_49_260.jpg,0.99475443,49
57,image_49_260.jpg,0.99211407,49
57,image_49_260.jpg,0.97945434,49
57,image_49_260.jpg,0.9534518,49
57,image_49_260.jpg,0.83146775,49
57,image_49_260.jpg,0.72962785,49
57,image_49_260.jpg,0.6696695,49
57,image_49_260.jpg,0.6632357,49
57,image_49_260.jpg,0.6585739,49
57,image_49_260.jpg,0.6033945,49
57,image_49_260.jpg,0.5937738,49
57,image_49_260.jpg,0.4836797,49
57,image_49_260.jpg,0.36446133,49
57,image_49_260.jpg,0.3199374,49
57,image_49_260.jpg,0.2570827,49
57,image_49_260.jpg,0.21803483,49
58,image_98_220.jpg,0.35773167,98
58,image_98_220.jpg,0.35279003,98
59,image_84_100.jpg,0.9439982,84
59,image_84_100.jpg,0.8931168,84
59,image_84_100.jpg,0.81362766,84
59,image_84_100.jpg,0.7946654,84
59,image_84_100.jpg,0.54032546,84
59,image_84_100.jpg,0.44200772,84
59,image_84_100.jpg,0.3692492,84
59,image_84_100.jpg,0.32149684,84
59,image_84_100.jpg,0.2036701,84
60,image_112_240.jpg,,112
61,image_43_180.jpg,,43
62,image_41_200.jpg,,41
63,image_55_200.jpg,,55
64,image_22_180.jpg,,22
65,image_98_240.jpg,,98
66,image_61_100.jpg,0.9978124,61
66,image_61_100.jpg,0.99711347,61
66,image_61_100.jpg,0.23765685,61
67,image_14_240.jpg,0.98392236,14
67,image_14_240.jpg,0.9464092,14
67,image_14_240.jpg,0.9011497,14
67,image_14_240.jpg,0.84619474,14
67,image_14_240.jpg,0.6589038,14
67,image_14_240.jpg,0.65082246,14
67,image_14_240.jpg,0.5659321,14
67,image_14_240.jpg,0.44256094,14
67,image_14_240.jpg,0.38203642,14
67,image_14_240.jpg,0.3622666,14
67,image_14_240.jpg,0.32353646,14
67,image_14_240.jpg,0.2714307,14
67,image_14_240.jpg,0.23563507,14
67,image_14_240.jpg,0.22053489,14
67,image_14_240.jpg,0.2071848,14
68,image_109_60.jpg,,109
69,image_12_320.jpg,0.98492926,12
69,image_12_320.jpg,0.97863,12
69,image_12_320.jpg,0.9595619,12
69,image_12_320.jpg,0.9291124,12
69,image_12_320.jpg,0.9139313,12
69,image_12_320.jpg,0.79995835,12
69,image_12_320.jpg,0.7758238,12
69,image_12_320.jpg,0.64740384,12
69,image_12_320.jpg,0.6162626,12
69,image_12_320.jpg,0.5963737,12
69,image_12_320.jpg,0.5874989,12
69,image_12_320.jpg,0.4496115,12
69,image_12_320.jpg,0.3993613,12
69,image_12_320.jpg,0.3310286,12
69,image_12_320.jpg,0.3005857,12
70,image_21_0.jpg,0.9914283,21
70,image_21_0.jpg,0.869899,21
70,image_21_0.jpg,0.73792064,21
70,image_21_0.jpg,0.30624157,21
70,image_21_0.jpg,0.21163696,21
71,image_27_340.jpg,0.9541158,27
72,image_47_300.jpg,0.891359,47
72,image_47_300.jpg,0.87471896,47
72,image_47_300.jpg,0.8650335,47
72,image_47_300.jpg,0.82360077,47
72,image_47_300.jpg,0.8224029,47
72,image_47_300.jpg,0.81404495,47
72,image_47_300.jpg,0.8086826,47
72,image_47_300.jpg,0.77860963,47
72,image_47_300.jpg,0.70270115,47
72,image_47_300.jpg,0.6777612,47
72,image_47_300.jpg,0.6366485,47
72,image_47_300.jpg,0.623345,47
72,image_47_300.jpg,0.5634365,47
72,image_47_300.jpg,0.5382777,47
72,image_47_300.jpg,0.48783296,47
72,image_47_300.jpg,0.46876714,47
72,image_47_300.jpg,0.44430318,47
72,image_47_300.jpg,0.42440712,47
72,image_47_300.jpg,0.40912104,47
72,image_47_300.jpg,0.3887081,47
72,image_47_300.jpg,0.3870319,47
72,image_47_300.jpg,0.3634259,47
72,image_47_300.jpg,0.34589845,47
72,image_47_300.jpg,0.33150283,47
72,image_47_300.jpg,0.26648936,47
72,image_47_300.jpg,0.2640163,47
72,image_47_300.jpg,0.25254467,47
72,image_47_300.jpg,0.2514469,47
72,image_47_300.jpg,0.23907346,47
72,image_47_300.jpg,0.2248823,47
73,image_100_280.jpg,0.98019284,100
73,image_100_280.jpg,0.6039992,100
73,image_100_280.jpg,0.5087566,100
